,wavelength
0,5.04
1,5.12
2,5.2
3,5.28
4,5.36
5,5.44
6,5.5200000000000005
7,5.6000000000000005
8,5.680000000000001
9,5.760000000000001
10,5.840000000000001
11,5.920000000000001
12,6.000000000000001
13,6.080000000000001
14,6.160000000000001
15,6.240000000000001
16,6.320000000000001
17,6.400000000000001
18,6.480000000000001
19,6.560000000000001
20,6.6400000000000015
21,6.7200000000000015
22,6.800000000000002
23,6.880000000000002
24,6.960000000000002
25,7.040000000000002
26,7.120000000000002
27,7.200000000000002
28,7.280000000000002
29,7.360000000000002
30,7.440000000000002
31,7.520000000000002
32,7.600000000000002
33,7.680000000000002
34,7.7600000000000025
35,7.8400000000000025
36,7.920000000000003
37,8.000000000000002
38,8.080000000000002
39,8.160000000000002
40,8.240000000000002
41,8.320000000000002
42,8.400000000000002
43,8.480000000000002
44,8.560000000000002
45,8.640000000000002
46,8.720000000000002
47,8.800000000000002
48,8.880000000000003
49,8.960000000000003
50,9.040000000000003
51,9.120000000000003
52,9.200000000000003
53,9.280000000000003
54,9.360000000000003
55,9.440000000000003
56,9.520000000000003
57,9.600000000000003
58,9.680000000000003
59,9.760000000000003
60,9.840000000000003
61,9.920000000000003
62,10.000000000000004
63,10.080000000000004
64,10.160000000000004
65,10.240000000000004
66,10.320000000000004
67,10.400000000000004
68,10.480000000000004
69,10.560000000000004
70,10.640000000000004
71,10.720000000000004
72,10.800000000000004
73,10.880000000000004
74,11.0775
75,11.2325
76,11.3875
77,11.542499999999999
78,11.697499999999998
79,11.852499999999997
80,12.007499999999997
81,12.162499999999996
82,12.317499999999995
83,12.472499999999995
84,12.627499999999994
85,12.782499999999994
86,12.937499999999993
87,13.092499999999992
88,13.247499999999992
89,13.402499999999991
90,13.55749999999999
91,13.71249999999999
92,13.867499999999989
93,14.022499999999988
94,14.177499999999988
95,14.332499999999987
96,14.487499999999986
97,14.642499999999986
98,14.797499999999985
99,14.952499999999985
100,15.107499999999984
101,15.262499999999983
102,15.417499999999983
103,15.572499999999982
104,15.727499999999981
105,15.88249999999998
106,16.03749999999998
107,16.19249999999998
108,16.347499999999982
109,16.502499999999984
110,16.657499999999985
111,16.812499999999986
112,16.967499999999987
113,17.122499999999988
114,17.27749999999999
115,17.43249999999999
116,17.58749999999999
117,17.742499999999993
118,17.897499999999994
119,18.052499999999995
120,18.207499999999996
121,18.362499999999997
122,18.5175
123,18.6725
124,18.8275
125,18.9825
126,19.137500000000003
127,19.292500000000004
128,19.447500000000005
129,19.602500000000006
130,19.757500000000007
131,19.91250000000001
